시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대
경기 가평군,친구/연인,만족,높음,높음,여,50대
경기 파주시,친구/연인,만족,높음,높음,여,60대
경기 연천군,친구/연인,만족,높음,높음,여,20대
경기 양평군,친구/연인,만족,높음,높음,남,50대
경기 김포시,친구/연인,만족,높음,높음,여,40대
인천 중구,친구/연인,만족,높음,높음,여,60대
경기 가평군,친구/연인,만족,높음,높음,남,20대
경기 가평군,친구/연인,만족,높음,높음,여,50대
강원 강릉시,친구/연인,만족,높음,높음,남,30대
경기 하남시,가족,매우 만족,매우 높음,높음,남,60대
전북 남원시,가족,매우 만족,매우 높음,높음,여,30대
강원 춘천시,친구/연인,매우 만족,매우 높음,높음,여,20대
강원 춘천시,가족,만족,높음,매우 높음,여,60대
경기 안성시,가족,만족,높음,높음,여,30대
강원 강릉시,가족,만족,높음,높음,남,30대
인천 중구,친구/연인,만족,높음,높음,남,50대
경기 가평군,친구/연인,만족,높음,높음,남,20대
강원 홍천군,친구/연인,만족,높음,높음,여,20대
충남 보령시,친구/연인,만족,높음,높음,여,50대
경기 연천군,친구/연인,만족,높음,높음,여,20대
강원 홍천군,가족,만족,높음,높음,여,50대
경기 가평군,가족,만족,높음,높음,남,30대
강원 강릉시,친구/연인,만족,높음,높음,여,30대
인천 강화군,친구/연인,만족,높음,높음,여,40대
경기 연천군,친구/연인,만족,높음,높음,여,70세 이상
경북 경주시,친목 모임,만족,높음,높음,남,30대
경기 양평군,친구/연인,만족,높음,높음,여,40대
인천 강화군,친구/연인,만족,높음,높음,여,20대
경기 연천군,가족,만족,높음,높음,여,70세 이상
충북 단양군,친구/연인,만족,높음,높음,여,30대
경기 포천시,친목 모임,만족,높음,높음,남,40대
경기 가평군,친구/연인,만족,높음,높음,남,20대
경기 가평군,가족,만족,높음,높음,여,50대
경기 양평군,친목 모임,만족,높음,매우 높음,여,70세 이상
경기 광주시,친구/연인,매우 만족,매우 높음,높음,남,20대
대전 서구,가족,매우 만족,높음,매우 높음,여,30대
전남 여수시,가족,매우 만족,높음,매우 높음,남,50대
인천 중구,친구/연인,매우 만족,높음,매우 높음,여,20대
충북 제천시,가족,만족,높음,높음,남,30대
경기 남양주시,친구/연인,만족,높음,높음,여,20대
경기 수원시,가족,만족,높음,높음,남,40대
경기 고양시,가족,만족,높음,높음,남,50대
경기 가평군,친구/연인,만족,높음,보통,여,70세 이상
강원 양양군,가족,매우 만족,높음,높음,남,50대
경기 가평군,가족,매우 만족,매우 높음,매우 높음,여,30대
충남 태안군,가족,매우 만족,매우 높음,매우 높음,남,40대
경기 남양주시,친구/연인,매우 만족,높음,높음,남,30대
경기 포천시,가족,매우 만족,높음,높음,남,50대
강원 속초시,가족,매우 만족,매우 높음,높음,여,50대
충남 태안군,가족,매우 만족,매우 높음,높음,여,60대
강원 춘천시,가족,매우 만족,매우 높음,높음,남,60대
부산 수영구,친구/연인,매우 만족,높음,높음,여,20대
강원 평창군,가족,매우 만족,높음,높음,남,40대
대전 유성구,친목 모임,매우 만족,높음,높음,여,70세 이상
경기 양평군,가족,매우 만족,높음,높음,여,50대
제주 제주시,가족,매우 만족,매우 높음,매우 높음,여,50대
강원 속초시,가족,매우 만족,매우 높음,매우 높음,여,60대
제주 제주시,친구/연인,매우 만족,매우 높음,높음,남,20대
강원 고성군,가족,매우 만족,매우 높음,매우 높음,남,50대
제주 제주시,친목 모임,매우 만족,매우 높음,높음,여,60대
경북 경주시,가족,매우 만족,높음,높음,여,60대
강원 강릉시,가족,만족,매우 높음,높음,여,60대
경북 문경시,가족,매우 만족,높음,높음,여,50대
제주 서귀포시,친구/연인,매우 만족,매우 높음,높음,여,60대
인천 중구,친구/연인,매우 만족,높음,높음,여,20대
경기 포천시,친구/연인,매우 만족,높음,높음,여,50대
경기 시흥시,가족,매우 만족,보통,보통,남,50대
대전 대덕구,가족,매우 만족,높음,높음,여,40대
경기 안성시,가족,매우 만족,높음,높음,남,30대
강원 춘천시,친구/연인,만족,높음,높음,여,50대
경기 양주시,가족,매우 만족,높음,높음,남,40대
충남 서천군,가족,매우 만족,높음,높음,남,50대
강원 고성군,친구/연인,만족,높음,높음,남,30대
경북 영덕군,가족,매우 만족,매우 높음,높음,여,50대
충남 논산시,가족,만족,높음,보통,여,60대
충남 태안군,친구/연인,만족,매우 높음,높음,여,70세 이상
경기 포천시,친구/연인,매우 만족,높음,높음,남,60대
전남 여수시,가족,매우 만족,매우 높음,높음,여,60대
전남 순천시,친구/연인,매우 만족,매우 높음,매우 높음,여,60대
강원 영월군,가족,만족,높음,보통,여,40대
제주 제주시,가족,매우 만족,높음,높음,남,60대
경기 포천시,친구/연인,만족,높음,높음,남,40대
충남 서산시,친구/연인,만족,높음,높음,여,30대
경기 양평군,친구/연인,만족,높음,높음,여,60대
경기 평택시,친구/연인,만족,높음,높음,여,40대
강원 춘천시,친구/연인,만족,높음,높음,여,50대
충북 보은군,친목 모임,만족,높음,높음,남,60대
경기 김포시,친구/연인,만족,높음,높음,여,20대
인천 강화군,가족,매우 만족,높음,높음,남,15~19세
경기 가평군,가족,만족,높음,높음,여,60대
충북 충주시,친구/연인,매우 만족,매우 높음,높음,남,60대
충남 예산군,가족,만족,높음,높음,여,30대
부산 해운대구,가족,매우 만족,높음,높음,남,50대
강원 강릉시,가족,매우 만족,매우 높음,높음,여,40대
경기 수원시,가족,만족,높음,높음,여,30대
충북 단양군,가족,만족,높음,높음,남,40대
경기 파주시,가족,만족,높음,높음,여,50대
경기 용인시,가족,매우 만족,높음,높음,남,40대
경기 남양주시,가족,만족,높음,높음,여,50대
경기 안양시,친구/연인,만족,높음,높음,남,20대
전남 여수시,친구/연인,매우 만족,매우 높음,높음,남,50대
경남 진주시,가족,매우 만족,매우 높음,높음,여,40대
경기 포천시,가족,매우 만족,높음,보통,남,60대
경기 포천시,가족,매우 만족,높음,높음,여,50대
경기 부천시,친구/연인,매우 만족,높음,높음,여,60대
경기 파주시,가족,만족,높음,보통,여,20대
경기 가평군,친구/연인,매우 만족,높음,높음,남,20대
경북 상주시,가족,매우 만족,높음,높음,남,60대
경기 양주시,가족,만족,보통,보통,남,50대
경기 고양시,가족,매우 만족,높음,높음,여,30대
경기 양주시,가족,매우 만족,높음,높음,여,70세 이상
경북 경주시,가족,매우 만족,매우 높음,높음,여,15~19세
부산 서구,친구/연인,만족,높음,높음,남,20대
경북 울릉군,친목 모임,매우 만족,매우 높음,매우 높음,여,40대
전남 여수시,가족,매우 만족,매우 높음,높음,남,60대
경북 울릉군,가족,매우 만족,높음,높음,여,50대
강원 속초시,가족,매우 만족,높음,높음,남,50대
전북 군산시,가족,매우 만족,매우 높음,높음,여,50대
제주 서귀포시,가족,매우 만족,매우 높음,높음,여,50대
제주 제주시,친구/연인,매우 만족,매우 높음,높음,남,50대
충남 서산시,가족,매우 만족,높음,높음,남,60대
경기 용인시,가족,매우 만족,높음,높음,여,50대
경기 양평군,친구/연인,매우 만족,매우 높음,높음,여,20대
경기 포천시,가족,매우 만족,높음,높음,남,50대
강원 홍천군,가족,만족,높음,보통,남,50대
경기 가평군,친구/연인,만족,높음,높음,남,30대
경기 수원시,가족,매우 만족,높음,높음,남,60대
경기 화성시,친구/연인,만족,높음,높음,여,60대
경기 가평군,친구/연인,매우 만족,높음,보통,여,20대
경기 파주시,가족,매우 만족,높음,높음,남,60대
강원 홍천군,가족,매우 만족,높음,높음,여,40대
제주 제주시,가족,매우 만족,매우 높음,높음,남,30대
충남 태안군,가족,매우 만족,높음,높음,여,50대
제주 제주시,가족,매우 만족,매우 높음,높음,여,40대
경기 양평군,가족,매우 만족,높음,높음,남,50대
제주 제주시,친구/연인,매우 만족,매우 높음,높음,여,15~19세
경기 파주시,가족,매우 만족,높음,높음,여,40대
인천 연수구,가족,매우 만족,높음,높음,여,50대
경기 포천시,가족,매우 만족,매우 높음,높음,남,60대
강원 영월군,가족,매우 만족,매우 높음,높음,여,50대
강원 춘천시,가족,매우 만족,높음,높음,남,60대
경기 남양주시,친구/연인,매우 만족,높음,높음,여,60대
경기 남양주시,가족,매우 만족,높음,보통,남,50대
충남 예산군,가족,만족,높음,보통,여,50대
경기 성남시,친구/연인,매우 만족,높음,높음,여,20대
인천 중구,친구/연인,매우 만족,높음,보통,남,20대
경기 양평군,가족,만족,매우 높음,보통,남,30대
경기 포천시,가족,매우 만족,높음,보통,여,30대
경기 파주시,가족,매우 만족,높음,높음,여,50대
부산 해운대구,친구/연인,만족,높음,높음,남,20대
강원 속초시,가족,만족,높음,보통,여,40대
강원 강릉시,가족,만족,높음,높음,여,70세 이상
경기 양평군,가족,만족,높음,높음,여,60대
충남 당진시,가족,만족,높음,보통,여,20대
경기 양평군,가족,만족,높음,보통,남,20대
경기 고양시,가족,만족,높음,높음,여,70세 이상
강원 춘천시,가족,만족,높음,높음,남,50대
대구 달서구,가족,만족,높음,높음,여,30대
충북 보은군,친구/연인,만족,높음,높음,남,20대
경기 양주시,가족,만족,높음,보통,남,30대
경기 포천시,친구/연인,만족,높음,높음,여,20대
제주 서귀포시,친구/연인,만족,높음,높음,여,30대
경기 포천시,친구/연인,만족,높음,높음,남,20대
강원 강릉시,친구/연인,만족,높음,보통,여,20대
경남 거창군,가족,만족,높음,높음,남,70세 이상
경기 이천시,가족,만족,높음,높음,남,40대
대전 서구,가족,만족,높음,높음,여,50대
제주 제주시,가족,만족,높음,높음,남,50대
경남 거창군,가족,만족,높음,높음,여,40대
경기 남양주시,가족,만족,높음,높음,남,60대
경기 양평군,가족,만족,높음,보통,여,30대
대구 서구,가족,만족,높음,높음,여,50대
경기 광주시,친구/연인,만족,보통,보통,남,30대
충북 괴산군,가족,만족,높음,높음,남,70세 이상
경남 진주시,가족,만족,높음,높음,여,60대
강원 양구군,가족,만족,높음,높음,여,70세 이상
대전 서구,가족,만족,높음,보통,남,20대
강원 양구군,가족,만족,높음,높음,남,15~19세
충북 옥천군,가족,만족,높음,높음,남,30대
경기 고양시,가족,만족,높음,높음,여,60대
대전 대덕구,가족,만족,높음,높음,여,50대
전남 고흥군,가족,만족,높음,높음,남,40대
충남 아산시,가족,만족,높음,높음,남,30대
경북 김천시,가족,만족,높음,보통,남,40대
경기 김포시,친구/연인,만족,높음,보통,여,20대
경남 진주시,가족,만족,높음,높음,여,30대
충북 청주시,친구/연인,만족,높음,보통,여,60대
경북 경주시,가족,만족,높음,높음,남,40대
대구 동구,가족,만족,높음,높음,여,50대
경기 여주시,친구/연인,만족,높음,높음,남,50대
강원 철원군,친구/연인,만족,높음,높음,여,30대
충북 제천시,가족,만족,높음,높음,여,40대
경기 연천군,친구/연인,만족,높음,높음,여,60대
경기 용인시,친구/연인,만족,매우 높음,높음,여,15~19세
경기 고양시,친목 모임,매우 만족,높음,높음,남,50대
강원 홍천군,친구/연인,만족,높음,높음,남,20대
강원 속초시,가족,만족,높음,높음,여,15~19세
경기 남양주시,친목 모임,만족,높음,높음,여,70세 이상
경기 포천시,친구/연인,만족,높음,높음,여,60대
경기 남양주시,가족,매우 만족,높음,높음,여,50대
강원 속초시,가족,만족,높음,높음,여,40대
경기 포천시,친목 모임,매우 만족,높음,높음,여,70세 이상
경기 남양주시,친목 모임,만족,높음,높음,남,60대
경기 화성시,가족,만족,높음,높음,남,50대
제주 서귀포시,가족,매우 만족,매우 높음,매우 높음,여,40대
경기 양주시,가족,매우 만족,높음,높음,여,50대
경기 가평군,친목 모임,만족,높음,높음,남,40대
강원 강릉시,친구/연인,만족,높음,높음,남,60대
충북 청주시,가족,매우 만족,높음,보통,여,60대
